engelman_met_id,PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID_UPDATED,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,KEGG,HMDB
met57814,412,(N(1) + N(8))-acetylspermidine,Amino Acid,Polyamine Metabolism,57814,LC/MS Pos Early,100016038,3080,188.1757,,,,
met48761,4702,"1,2,3-benzenetriol sulfate (1)",Xenobiotics,Chemical,48761,LC/MS Neg,100006373,1453,204.9812,,,,
met48762,4699,"1,2,3-benzenetriol sulfate (2)",Xenobiotics,Chemical,48762,LC/MS Neg,100006374,1709,204.9812,,,,
met52603,1805,"1,2-dilinoleoyl-GPC (18:2/18:2)",Lipid,Phosphatidylcholine (PC),52603,LC/MS Pos Late,100008903,2006,782.5694,998-06-1,5288075,,HMDB08138
met19130,1731,"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phosphatidylcholine (PC),19130,LC/MS Pos Late,100000657,2365,734.5694,63-89-8,452110,,HMDB00564
met34404,3683,"1,3,7-trimethylurate",Xenobiotics,Xanthine Metabolism,34404,LC/MS Neg,100001397,1985,209.068,5415-44-1,79437,C16361,HMDB02123
met32391,3680,"1,3-dimethylurate",Xenobiotics,Xanthine Metabolism,32391,LC/MS Neg,100001106,1671.4,195.0524,944-73-0,70346,,HMDB01857
met20675,905,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism",20675,LC/MS Neg,100000580,802,163.0612,154-58-5,64960,C07326,HMDB02712
met34400,3681,"1,7-dimethylurate",Xenobiotics,Xanthine Metabolism,34400,LC/MS Neg,100001399,1578.6,195.0524,33868-03-0,91611,C16356,HMDB11103
met44621,2223,1-(1-enyl-oleoyl)-GPE (P-18:1)*,Lipid,Lysoplasmalogen,44621,LC/MS Pos Late,100005372,1566,464.3136,,,,
met52689,2202,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*,Lipid,Plasmalogen,52689,LC/MS Pos Late,100009014,2154,766.5745,,,,HMDB11220
met52673,2194,1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*,Lipid,Plasmalogen,52673,LC/MS Pos Late,100009002,2270,724.5276,,,,HMDB11352
met52682,2203,1-(1-enyl-palmitoyl)-2-linoleoyl-GPC (P-16:0/18:2)*,Lipid,Plasmalogen,52682,LC/MS Pos Late,100009009,2226,742.5745,,,,HMDB11211
met52677,2191,1-(1-enyl-palmitoyl)-2-linoleoyl-GPE (P-16:0/18:2)*,Lipid,Plasmalogen,52677,LC/MS Pos Late,100009069,2351,700.5276,,,,HMDB11343
met52478,2196,1-(1-enyl-palmitoyl)-2-oleoyl-GPC (P-16:0/18:1)*,Lipid,Plasmalogen,52478,LC/MS Pos Late,100009007,2443,744.5902,,,,
met52477,2190,1-(1-enyl-palmitoyl)-2-oleoyl-GPE (P-16:0/18:1)*,Lipid,Plasmalogen,52477,LC/MS Pos Late,100009005,2600,702.5432,,,,HMDB11342
met52713,2193,1-(1-enyl-palmitoyl)-2-palmitoleoyl-GPC (P-16:0/16:1)*,Lipid,Plasmalogen,52713,LC/MS Pos Late,100009160,2218,716.5589,,,,HMDB11207
