1-2-Diglycerides	a 1,2-diglyceride
1-3-D-xylooligosaccharides	a (1->3)-&beta;-D-xylan oligosaccharide
1-4-D-xylooligosaccharides	a (1->4)-&beta;-D-xylan oligosaccharide
1-4-Mannan	a &beta;-(1,4)-D-mannan
1-4-alpha-D-Glucan	a 1,4-&alpha;-D-glucan
1-4-alpha-D-galacturonosyl	a homogalacturonan
1-4-beta-Xylan	a (1&rarr;4)-&beta;-D-xylan
1-5-Galactofuran	a galactofuran ending with a galactofuranosyl (1->5) linkage
1-5-L-Arabinooligosaccharides	an &alpha;(1,5)-L-arabinan
1-6-Galactofuran	a galactofuran ending with a galactofuranosyl (1->6) linkage
1-Alkenes	a 1-alkene
1-Alpha-Linolenoyl-L-Phosphatidate	a 1-&alpha;-linolenoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate
1-Haloalkanes	a 1-haloalkane
1-Linoleoyl-L-Phosphatidate	a 1-linoleoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate
1-Lyso-phospholipids	a 1-lyso-phospholipid
1-Oleoyl-L-Phosphatidate	a 1-oleoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate
1-PHOSPHATIDYL-1D-MYO-INOSITOL-5-PHOSPHA	a 1-phosphatidyl-1D-myo-inositol 5-phosphate
1-PHOSPHATIDYL-MYO-INOSITOL-2-MANNOSE	a 2-<i>O</i>-(&alpha;-D-mannosyl)-1-phosphatidyl-1D-myo-inositol
1-Phosphatidyl-2-O-D-Ala-Glycerol	2-<i>O</i>-D-alanyl-1-<i>O</i>-phosphatidylglycerol
1-Stearoyl-L-Phosphatidate	a 1-stearoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate
1-gamma-Linolenoyl-L-Phosphatidate	a 1-&gamma;-linolenoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate
1-stearidonoyl-L-Phosphatidate	a 1-stearidonoyl 2-acyl-<i>sn</i>-glycerol 3-phosphate
11Z-3-oxo-icos-11-enoyl-ACPs	an (11Z)-3-oxo-icos-11-enoyl-[acp]
11Z-icos-11-enoyl-ACPs	a gondoyl-[acp]
12-DAG-alpha-D-GAL-alpha-D-Glc	a 1,2-diacyl-3-<i>O</i>-(&alpha;-D-galactopyranosyl-(1&rarr;2)-<i>O</i>-&alpha;-D-glucopyranosyl)-<i>sn</i>-glycerol
12-DIACYL-3-O-ALPHA-D-GLUCOPYRANOSYL	a 1,2-diacyl-3-O-(&alpha;-D-glucopyranosyl)-<i>sn</i>-glycerol
12-DIACYL-3-O-ALPHA-D-GLUCOPYRANOSYL1	a 1,2-diacyl-3-O-(&alpha;-D-glucopyranosyl(1->2)-O-&alpha;-D-glucopyranosyl)-<i>sn</i>-glycerol
12-Hydroxyjasmonates	tuberonic acid
13-BETA-D-XYLANS	a (1->3)-&beta;-D-xylan
14-Dihydroxy-6-Naphthoate-Biosynthesis	1,4-dihydroxy-6-naphthoate biosynthesis
14-alpha-methylsteroids	a 14&alpha;-methylsteroid
16S-rRNA-2-O-methylcytidine1409	a 2'-<i>O</i>-methylcytidine<sup>1409</sup> in 16S rRNA
16S-rRNA-5-O-methylcytosine1407	a 5-methylcytosine<sup>1407</sup> in 16S rRNA
16S-rRNA-5-O-methylcytosine967	a 5-methylcytosine<sup>967</sup> in 16S rRNA
16S-rRNA-N2-methylguanine1207	an <i>N</i><sup>2</sup>-methylguanine<sup>1207</sup> in 16S rRNA
16S-rRNA-N2-methylguanine966	an <i>N</i><sup>2</sup>-methylguanine<sup>966</sup> in 16S rRNA
16S-rRNA-N2methylguanine1516	an <i>N</i><sup>2</sup>-methylguanine<sup>1516</sup> in 16S rRNA
16S-rRNA-N6-dimethyladenine1518-1519	N<sup>6</sup>-dimethyladenine<sup>1518</sup>/N<sup>6</sup>-dimethyladenine<sup>1519</sup>in 16S rRNA
16S-rRNA-N7-methylguanine527	an <i>N</i><sup>7</sup>-methylguanine<sup>527</sup> in 16S rRNA
16S-rRNA-adenine1518-adenine1519	adenine<sup>1518</sup>/adenine<sup>1519</sup> in 16S rRNA
16S-rRNA-cytidine1409	a cytidine<sup>1409</sup> in 16S rRNA
16S-rRNA-cytosine1407	a cytosine<sup>1407</sup> in 16S rRNA
16S-rRNA-cytosine967	a cytosine<sup>967</sup> in 16S rRNA
16S-rRNA-guanine-1207	a guanine<sup>1207</sup> in 16S rRNA
16S-rRNA-guanine-527	a guanine<sup>527</sup> in 16S rRNA
16S-rRNA-guanine-966	a guanine<sup>966</sup> in 16S rRNA
16S-rRNA-guanine1516	a guanine<sup>1516</sup> in 16S rRNA
16S-rRNA-pseudouridine516	a 16S rRNA pseudouridine<sup>516</sup>
16S-rRNA-uridine516	a uridine<sup>516</sup> in 16S rRNA
17-4-hydroxyphenylheptadecanoyl-PpsAE	a 17-(4-hydroxyphenyl)heptadecanoyl-[(phenol)carboxyphthiodiolenone synthase]
17-BETA-HYDROXYANDROSTAN-3-ONE	17-&beta;-hydroxyandrostan-3-one
19-4-hydroxyphenyl-nonadecanoyl-PpsAE	a 19-(4-hydroxyphenyl)-nonadecanoyl-[(phenol)carboxyphthiodiolenone synthase]
1iNisup6sup-ethenoadenine-in-DNA	1,<i>N</i><sup>6</sup>-ethenoadenine in DNA
2-3-4-Saturated-L-Phosphatidates	a 2,3,4-saturated 1,2-diacyl-<i>sn</i>-glycerol 3-phosphate
2-3-Butanediol-Degradation	2,3-Butanediol Degradation
2-3-Butanediols	a 2,3-butanediol
2-3-dihydroxypropane-1-sulfonate	3-sulfopropanediol
2-ACYL-GPE	a 2-acyl-1-lyso-phosphatidylethanolamine
2-Acyl-sn-glycerol-3-phosphates	a 2-acyl-<i>sn</i>-glycerol 3-phosphate
2-Alkyl-3-hydroxy-fatty-acids	a (2R,3S)-2-alkyl-3-hydroxyalkanoate
2-Amino-3-sulfanylprop-2-enoate-HlmE	a (2E)-2-amino-3-sulfanylprop-2-enoyl-[HlmE non-ribosomal peptide synthetase]
2-Aminobenzoate-Degradation	2-Aminobenzoate Degradation
2-Aminobutyrate	2-aminobutanoate
2-Chloroacrylates-Degradation	2-Chloroacrylate-Degradation
2-DEOXY-D-GLUCOSE	2-deoxy-D-glucose
2-H-4-G-glutamylamino-butanoyl-BtrI	a 4-(&gamma;-L-glutamylamino)-(<i>S</i>)-2-hydroxy-butanoyl-[BtrI L-glutamyl-carrier protein]
2-HEXADECENOATES	a 2-hexadecenoate
2-HYDROXYGLUTARIC_ACID	2-hydroxyglutarate
2-Hexadecenoyl-ACPs	a (2<i>E</i>)-hexadec-2-enoyl-[acp]
2-Hydroxy-carboxylates	a 2-hydroxy carboxylate
2-LYSOPHOSPHATIDYLETHANOLAMINES	a 1-acyl-2-lyso-phosphatidylethanolamine
2-Lysophosphatidylcholines	a 1-acyl-<i>sn</i>-glycero-3-phosphocholine
2-Me-Branched-234-Sat-FA	a 2-methyl branched 2,3,4-saturated fatty acid
2-Me-Branched-234-Sat-FALD	a 2-methyl branched 2,3,4-saturated fatty aldehyde
2-Methoxy-6-Polyprenyl-14-Benzoquinols	a 2-methoxy-6-<i>all-trans</i>-polyprenyl-1,4-benzoquinol
2-Methoxy-6-polyprenyl-phenols	a 2-methoxy-6-(<i>all-trans</i>-polyprenyl)phenol
2-Nirobenzoate-Degradation	2-Nitrobenzoate Degradation
2-O-Methylguanosine18	a 2'-<i>O</i>-methylguanosine<sup>18</sup> in tRNA
2-O-methyluridine2479-in-23S-rRNA	a 2'-<i>O</i>-methyluridine<sup>2479</sup> in 23S rRNA
2-OH-3-Methyl-Saturated-Fatty-Acyl-CoA	a 2-hydroxy-3-methyl-branched 2,3,4-saturated fatty acyl-CoA
2-OH-4-IPCH-1-carboxyl-CoA	2-hydroxy-4-isopropenylcyclohexane-1-carboxyl-CoA
2-OH-Ornithine-Lipids	a 2-hydroxyornithine lipid
2-Octenoyl-ACPs	a (2<i>E</i>)-oct-2-enoyl-[acp]
2-Or-3-Hydroxy-Fatty-Acids	a 3- or 2-hydroxy fatty acid
2-Oxo-4-IPCH-1-carboxyl-CoA	2-oxo-4-Isopropenylcyclohexane-1-carboxyl-CoA
2-Oxo-Acids	a 2-oxo acid
2-Oxo-carboxylates	a 2-oxo carboxylate
2-Palmitoleoyl-L-Phosphatidate	a 1-acyl-2-palmitoleoyl-<i>sn</i>-glycerol 3-phosphate
2-Palmitoyl-L-Phosphatidate	a 1-acyl-2-palmitoyl-<i>sn</i>-glycerol 3-phosphate
2-Phenyloxirane	styrene oxide
2-Polyprenyl-Phenol	a 2-(all-trans-polyprenyl)phenol
2-Prime-Phosphate-Terminated-RNAs	an [RNA]-3'-ribunucleoside-2'-phosphate
2-aminomalonyl-semialdehyde-PCP	a 2-aminomalonyl semialdehyde-[L-seryl-carrier protein]
2-hydroxy-3-oxopropanoyl-ACP	a (2R)-2-hydroxy-3-oxopropanoyl-[acp]
2-hydroxyacyl-glutathiones	<i>S</i>-(2-hydroxyacyl)glutathione
23-Diaminopropanoate	2,3-diaminopropanoate
23-dehydro-decanoyl-HmqF-Proteins	a 2,3-dehydro-decanoyl-HmqF
23-dihydroxybenzoyl-acp	a 2,3-dihydroxybenzoyl-[aryl-carrier protein]
23S-RRNA-N2-METHYLGUANINE2445	an <i>N</i><sup>2</sup>-methylguanine<sup>2445</sup> in 23S rRNA
23S-rRNA-2-O-methyladenosine1067	2-<i>O</i>-methyladenosine<sup>1067</sup> in 23S rRNA
23S-rRNA-2-O-methylcytidine1920	a 2'-<i>O</i>-methylcytidine<sup>1920</sup> in 23S rRNA
