1-AMINO-PROPAN-2-OL	(<i>R</i>)-1-aminopropan-2-ol
1-CARBOXYVINYL-CARBOXYPHOSPHONATE	1-carboxyvinyl carboxyphosphonate
1-CHLORO-24-DINITROBENZENE	1-chloro-2,4-dinitrobenzene
1-KESTOTRIOSE	1-kestotriose
1-KETO-2-METHYLVALERATE	(<i>R</i>)-2,3-dihydroxy-3-methylpentanoate
1-L-MYO-INOSITOL-1-P	1D-<i>myo</i>-inositol 3-monophosphate
1-PALMITOYLGLYCEROL-3-PHOSPHATE	1-palmitoyl-<i>sn</i>-glycerol 3-phosphate
11-DEOXYCORTICOSTERONE	11-deoxycorticosterone
12-DEHYDROTETRACYCLINE	5a,11a-dehydrotetracycline
12-DICHLOROETHANE	1,2-dichloroethane
13-HYDROXY-MAGNESIUM-PROTOPORP	13<SUP>1</SUP>-hydroxy-magnesium-protoporphyrin IX 13-monomethyl ester
131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M	13<SUP>1</SUP>-oxo-magnesium-protoporphyrin IX 13-monomethyl ester
15-ANHYDRO-D-FRUCTOSE	1,5-anhydro-D-fructose
15-ANHYDRO-D-GLUCITOL	1,5-anhydro-D-glucitol
1516-DIHYDROBILIVERDIN	15,16-dihydrobiliverdin
17-BETA-HYDROXY-5ALPHA-ANDROSTAN-3-O	17-&beta;-hydroxy-5-&alpha;-androstan-3-one
2-2-METHYLTHIOETHYLMALIC-ACID	2-[(2'-methylsulfanyl)ethyl]malate
2-3-DIHYDROXYBENZOATE	2,3-dihydroxybenzoate
2-3-DIHYDROXYPHENYL-PROPIONATE	3-(2,3-dihydroxyphenyl)propanoate
2-5-DIHYDROXYPYRIDINE	2,5-dihydroxypyridine
2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-	2'-(5''-triphospho-&alpha;-D-ribosyl)-3'-dephospho-CoA
2-ACETO-2-HYDROXY-BUTYRATE	(<i>S</i>)-2-aceto-2-hydroxybutanoate
2-ACETO-LACTATE	(<i>S</i>)-2-acetolactate
2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI	2-amino-3-carboxymuconate-6-semialdehyde
2-AMINO-MUCONATE	(2Z,4E)-2-aminomuconate
2-AMINOACRYLATE	2-aminoprop-2-enoate
2-AMINOBENZOYL-COA	anthraniloyl-CoA
2-AMINOMUCONATE_SEMIALDEHYDE	(2Z,4E)-2-amino-6-oxohexa-2,4-dienoate
2-AMINOPHENOL	2-aminophenol
2-BROMOPORPHOBILINOGEN	2-bromoporphobilinogen
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE	2-C-methyl-D-erythritol 4-phosphate
2-CARBOXYMUCONATE	2-carboxymuconate
2-CHLOROETHANOL	2-chloroethanol
2-CHLOROMALEYLACETATE	2-chloromaleylacetate
2-CL-5-OXO-2-5-DIH-FURAN-2-ACETATE	(2<i>R</i>)-2-chloro-2,5-dihydro-5-oxofuran-2-acetate
2-CL-MUCONATE	2-chloro-cis,cis-muconate
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	(2<i>R</i>,3<i>S</i>)-3-isopropylmalate
2-DEHYDRO-3-DEOXY-D-GALACTONATE	2-dehydro-3-deoxy-D-galactonate
2-DEHYDRO-3-DEOXY-D-GLUCONATE	2-dehydro-3-deoxy-D-gluconate
2-DEHYDROPANTOATE	2-dehydropantoate
2-DEOXY-D-GLUCOSE-6-PHOSPHATE	2-deoxy-D-glucose 6-phosphate
2-DH-3-DO-D-ARABINONATE	2-dehydro-3-deoxy-D-arabinonate
2-FUROATE	2-furoate
2-HYDROXY-3-KETO-5-METHYLTHIO-1-PHOSPHOP	2-hydroxy-5-(methylsulfanyl)-3-oxopent-1-enyl 1-phosphate
2-KETO-3-DEOXY-6-P-GLUCONATE	2-dehydro-3-deoxy-D-gluconate 6-phosphate
2-KETO-3-METHYL-VALERATE	(<i>S</i>)-3-methyl-2-oxopentanoate
2-KETO-6-AMINO-CAPROATE	6-amino-2-oxohexanoate
2-KETO-GLUTARAMATE	2-oxoglutaramate
2-KETO-ISOVALERATE	3-methyl-2-oxobutanoate
2-KETOGLUTARATE	2-oxoglutarate
2-MERCAPTOETHANOL	2-mercaptoethanol
2-METHYL-6-SOLANYL-14-BENZOQUINONE	2-methyl-6-all-trans-nonaprenyl-1,4-benzoquinol
2-METHYL-BUTYRYL-COA	2-methylbutanoyl-CoA
2-O-ALPHA-MANNOSYL-D-GLYCERATE	2-<i>O</i>-(&alpha;-D-mannosyl)-D-glycerate
