1-AMINO-PROPAN-2-OL	C[C@@H](O)C[N+]
1-CARBOXYVINYL-CARBOXYPHOSPHONATE	C=C(C([O-])=O)OP(=O)(C(=O)[O-])[O-]
1-CHLORO-24-DINITROBENZENE	C1(\C=C(Cl)C(\[N+]([O-])=O)=C/C(\[N+]([O-])=O)=1)
1-KESTOTRIOSE	C(O)[C@]3(OC[C@]2(O[C@@H]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@@H](O)1))([C@@H](O)[C@H](O)[C@@H](CO)O2))([C@@H](O)[C@H](O)[C@@H](CO)O3)
1-KETO-2-METHYLVALERATE	CC[C@](O)(C)[C@H](C([O-])=O)O
1-L-MYO-INOSITOL-1-P	[C@H]1(O)([C@@H](O)[C@H](O)[C@@H](OP(=O)([O-])[O-])[C@@H](O)[C@@H](O)1)
1-PALMITOYLGLYCEROL-3-PHOSPHATE	CCCCCCCCCCCCCCCC(=O)OC[C@@H](O)COP(=O)([O-])[O-]
11-DEOXYCORTICOSTERONE	C[C@]34([C@@H]2(CC[C@@]1(C)([C@@H](CC[C@H](C(=O)CO)1)[C@@H]2CCC/3=C/C(=O)CC4)))
12-DEHYDROTETRACYCLINE	C[C@@]1(C4(\C=CC=C(O)C(/C(=O)C2(C([C@]3(C(=O)C(/C(=O)N)=C([C@H]([C@H](CC1=2)3)[N+](C)C)/[O-])O)=O))=4))O
12-DICHLOROETHANE	C(CCl)Cl
13-HYDROXY-MAGNESIUM-PROTOPORP	C=CC4(/C(\C)=C3(C=C8(C(\C)=C(CCC(=O)[O-])/C7(=N(.[Mg]25(.N1(=C(C(\C=C)=C(C)/C/1=C/C(/N23)=4)C=C6(C(/C)=C(C(/N56)=C/7)/C(O)CC(=O)OC))))8))))
131-OXO-MAGNESIUM-PROTOPORPHYRIN-IX-13-M	C=CC4(/C(\C)=C3(C=C8(C(\C)=C(CCC(=O)[O-])/C7(=N(.[Mg]25(.N1(=C(C(\C=C)=C(C)/C/1=C/C(/N23)=4)C=C6(C(/C)=C(C(/N56)=C/7)/C(=O)CC(=O)OC))))8))))
15-ANHYDRO-D-FRUCTOSE	C([C@H]1([C@H]([C@@H](C(CO1)=O)O)O))O
15-ANHYDRO-D-GLUCITOL	C(O)[C@@H]1(OC[C@H](O)[C@@H](O)[C@H](O)1)
1516-DIHYDROBILIVERDIN	C=CC1(/C(/NC(C(\C)=1)=O)=C/C4(/NC(\C=C2(C(\CCC(=O)[O-])=C(C)/C(=N2)C[C@H]3(C(\C)=C(C=C)/C(=O)N3)))=C(CCC(=O)[O-])/C(\C)=4))
17-BETA-HYDROXY-5ALPHA-ANDROSTAN-3-O	C[C@]34([C@@H]2([C@H]([C@@H]1([C@@](C)([C@@H](O)CC1)CC2))CC[C@H]3CC(=O)CC4))
2-2-METHYLTHIOETHYLMALIC-ACID	CSCCC(CC([O-])=O)(O)C(=O)[O-]
2-3-DIHYDROXYBENZOATE	C(C1(/C(/O)=C(C=CC=1)/O))([O-])=O
2-3-DIHYDROXYPHENYL-PROPIONATE	C(CCC1(/C(/O)=C(C=CC=1)/O))([O-])=O
2-5-DIHYDROXYPYRIDINE	C1(C(\O)=C/C=C(O)N=1)
2-5-TRIPHOSPHORIBOSYL-3-DEPHOSPHO-	CC(C)(COP([O-])(=O)OP([O-])(=O)OC[C@H]2([C@@H](O)[C@@H](O[C@H]1([C@H](O)[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O1))[C@@H](O2)N3(C=NC4(C(N)=NC=NC3=4))))[C@@H](O)C(=O)NCCC(=O)NCCS
2-ACETO-2-HYDROXY-BUTYRATE	CC[C@@](O)(C(=O)[O-])C(C)=O
2-ACETO-LACTATE	CC(=O)[C@](C)(O)C(=O)[O-]
2-AMINO-3-3-OXOPROP-2-ENYL-BUT-2-ENEDI	C(=O)([O-])C(/C=C[CH]=O)=C(C([O-])=O)/N
2-AMINO-MUCONATE	C([O-])(=O)C=CC=C([N+])C(=O)[O-]
2-AMINOACRYLATE	C=C([N+])C(=O)[O-]
2-AMINOBENZOYL-COA	CC(C)([C@@H](O)C(=O)NCCC(=O)NCCSC(C1(/C(\N)=C/C=CC=1))=O)COP(=O)(OP(=O)(OC[C@H]2([C@@H](OP([O-])(=O)[O-])[C@@H](O)[C@@H](O2)N3(C4(N=CN=C(C(N=C3)=4)N))))[O-])[O-]
2-AMINOMUCONATE_SEMIALDEHYDE	C(\C=C(C([O-])=O)N)=C/[CH]=O
2-AMINOPHENOL	C1(/C=C(N)C(\O)=C/C=1)
2-BROMOPORPHOBILINOGEN	C(C1(/NC(\Br)=C(CCC(=O)[O-])/C(\CC(=O)[O-])=1))[N+]
2-C-METHYL-D-ERYTHRITOL-4-PHOSPHATE	C[C@](O)(CO)[C@H](O)COP([O-])([O-])=O
2-CARBOXYMUCONATE	C(\C=C(C(=O)[O-])C(=O)[O-])=C/C(=O)[O-]
2-CHLOROETHANOL	C(Cl)CO
2-CHLOROMALEYLACETATE	C([O-])(=O)C(\Cl)=C/C(=O)CC(=O)[O-]
2-CL-5-OXO-2-5-DIH-FURAN-2-ACETATE	C([O-])(=O)C[C@]1(Cl)(OC(=O)C=C1)
2-CL-MUCONATE	C([O-])(=O)C=CC=C(C([O-])=O)Cl
2-D-THREO-HYDROXY-3-CARBOXY-ISOCAPROATE	CC(C)[C@H](C([O-])=O)[C@H](C([O-])=O)O
2-DEHYDRO-3-DEOXY-D-GALACTONATE	C(O)[C@@H](O)[C@H](O)CC(C(=O)[O-])=O
2-DEHYDRO-3-DEOXY-D-GLUCONATE	C(=O)([O-])C(=O)C[C@H](O)[C@H](O)CO
2-DEHYDROPANTOATE	CC(C(=O)C([O-])=O)(CO)C
2-DEOXY-D-GLUCOSE-6-PHOSPHATE	C(OP([O-])(=O)[O-])[C@@H]1(OC(O)C[C@@H](O)[C@H](O)1)
2-DH-3-DO-D-ARABINONATE	C(O)[C@@H](O)CC(=O)C(=O)[O-]
2-FUROATE	C(C1(/OC=CC=1))([O-])=O
2-HYDROXY-3-KETO-5-METHYLTHIO-1-PHOSPHOP	CSCCC(C(/[O-])=C/OP([O-])(=O)[O-])=O
