1-ACYLGLYCEROL-3-P-ACYLTRANSFER-ENZRXN	RXN-1623
2-DEHYDROPANTOATE-REDUCT-ENZRXN	2-DEHYDROPANTOATE-REDUCT-RXN
2-OCTAPRENYL-METHOXY-BENZOQ-METH-ENZRXN	2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN
2-OCTPRNL-6-MTHXPHENOL-HYDROX-ENZRXN	2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN
3-DEHYDROQUINATE-SYNTHASE-ENZRXN	3-DEHYDROQUINATE-SYNTHASE-RXN
3-NUCLEOTID-ENZRXN	3-NUCLEOTID-RXN
3-P-SHIK-1-CARBOXYVINYLXFERASE-ENZRXN	2.5.1.19-RXN
4OHBENZOATE-OCTAPRENYLTRANSFER-ENZRXN	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN
5-NUCLEOTID-ENZRXN	5-NUCLEOTID-RXN
6PGLUCONOLACT-ENZRXN	6PGLUCONOLACT-RXN
ACETATEKINA-ENZRXN	ACETATEKIN-RXN
ACS-ENZRXN	ACETATE--COA-LIGASE-RXN
ACYLACPSYNTH-ENZRXN	RXN0-5513
ACYLCOADEHYDROG-ENZRXN	ACYLCOADEHYDROG-RXN
ACYLGPEACYLTRANS-ENZRXN	ACYLGPEACYLTRANS-RXN
ADDALT-ENZRXN	ADDALT-RXN
ADENODEAMIN-ENZRXN	ADENODEAMIN-RXN
ADENYL-KIN-ENZRXN	ADENYL-KIN-RXN
ADENYLATECYC-ENZRXN	ADENYLATECYC-RXN
ADOMET-DMK-METHYLTRANSFER-ENZRXN	ADOMET-DMK-METHYLTRANSFER-RXN
AICARTRANSFORM-ENZRXN	AICARTRANSFORM-RXN
ALDOSE1EPIM-ENZRXN	ALDOSE1EPIM-RXN
ALPHA-AMYL-CYTO-ENZRXN	ALPHA-AMYL-RXN
ALPHA-AMYL-PERI-ENZRXN	RXN0-5181
ALTRO-OXIDOREDUCT-ENZRXN	ALTRO-OXIDOREDUCT-RXN
ALTRODEHYDRAT-ENZRXN	ALTRODEHYDRAT-RXN
AMYLOMALT-ENZRXN	MALTODEG-RXN	AMYLOMALT-RXN
ARGS-ENZRXN	ARGININE--TRNA-LIGASE-RXN
ARGSUCCINLYA-ENZRXN	ARGSUCCINLYA-RXN
ARGSUCCTRAN-ENZRXN	ARGININE-N-SUCCINYLTRANSFERASE-RXN
BIOTINLIG-ENZRXN	BIOTINLIG-RXN
CARDIOLIPSYN-ENZRXN	CARDIOLIPSYN-RXN
CDPDIGLYPYPHOSPHA-ENZRXN	CDPDIGLYPYPHOSPHA-RXN
CDPDIGLYSYN-ENZRXN	RXN0-5515
CHD-ENZRXN	CHD-RXN
CHER-ENZRXN	CHER-RXN
CHORPYRLY-ENZRXN	CHORPYRLY-RXN
CMPKI-ENZRXN	RXN-11832
COBALAMIN5PSYN-ENZRXN	COBALAMIN5PSYN-RXN
CPM-KDOSYNTH-ENZRXN	CPM-KDOSYNTH-RXN
CROBETREDUCT-ENZRXN	CROBETREDUCT-RXN
CYCPHOSDIESTER-ENZRXN	CYCPHOSDIESTER-RXN
CYSS-ENZRXN	CYSTEINE--TRNA-LIGASE-RXN
CYTIDINEKIN-ENZRXN	CYTIDINEKIN-RXN
D-PPENTOMUT	D-PPENTOMUT-RXN
DALADALALIGA-ENZRXN	DALADALALIG-RXN
DARABKIN-ENZRXN	DARABKIN-RXN
DEHYDDEOXGALACTKIN-ENZRXN	DEHYDDEOXGALACTKIN-RXN
DEHYDDEOXPHOSGALACT-ALDOL-ENZRXN	DEHYDDEOXPHOSGALACT-ALDOL-RXN
DEOXYGLUCONOKIN-ENZRXN	DEOXYGLUCONOKIN-RXN
DEOXYRIBOSE-P-ALD-ENZRXN	DEOXYRIBOSE-P-ALD-RXN
DEPHOSPHOCOAKIN-ENZRXN	DEPHOSPHOCOAKIN-RXN
DIENOYLCOAREDUCT-ENZRXN	DIENOYLCOAREDUCT-RXN
DIHYDROFOLATEREDUCT-ENZRXN	DIHYDROFOLATEREDUCT-RXN
DIHYDROFOLATESYNTH-ENZRXN	DIHYDROFOLATESYNTH-RXN
DIHYDROOROTOX-ENZRXN	RXN0-6491
DLACTDEHYDROGFAD-ENZRXN	DLACTDEHYDROGFAD-RXN
DMK-ENZRXN	DMK-RXN
DSERDEAM-ENZRXN	DSERDEAM-RXN
DTDPDEHYDRHAMEPIM-ENZRXN	DTDPDEHYDRHAMEPIM-RXN
DTDPGLUCDEHYDRAT2-ENZRXN	DTDPGLUCDEHYDRAT-RXN
ENTC-ENZRXN	ISOCHORSYN-RXN
ENTDB-ENZRXN	ENTDB-RXN
ENZRXN-1	2.7.8.25-RXN
ENZRXN-10041	1.11.1.12-RXN
ENZRXN-101	PHOSACETYLTRANS-RXN
ENZRXN-10301	RXN0-2381
ENZRXN-10302	RXN0-2381
ENZRXN-10425	RXN-6763
ENZRXN-10426	LCYSDESULF-RXN
ENZRXN-10521	RXN-6883
ENZRXN-10542	RXN-6883
ENZRXN-10563	RXN-6902
ENZRXN-10565	RXN-11002
ENZRXN-10584	5-METHYLTHIORIBOSE-KINASE-RXN
ENZRXN-1068	GLYCERATE-DEHYDROGENASE-RXN
ENZRXN-10701	2.1.1.137-RXN
ENZRXN-10721	2.1.1.138-RXN
ENZRXN-10786	RXN-9679
ENZRXN-10787	RXN-9679
ENZRXN-11023	RXN-2463
ENZRXN-11162	RXN-10737
ENZRXN-1123	BENZOATE--COA-LIGASE-RXN
ENZRXN-1125	AMINOBENZCOALIG-RXN
