ACIAD0832	atfA
AT1G01290	Cnx3
AT1G02500	SAM1
AT1G03475	HEMF1
AT1G03630	PORC
AT1G04620	HCAR
AT1G08520	CHLD
AT1G10670	ACLA-1
AT1G12780	UGE1
AT1G14520	MIOX1
AT1G14810	AT1G14810
AT1G15500	NTT2
AT1G15690	VHP1
AT1G17050	SPS2
AT1G17745	PGDH
AT1G22940	TH1
AT1G24360	AT1G24360
AT1G27450	APT1
AT1G27980	At1G27980
AT1G31190	AT1G31190
AT1G32060	PRK
AT1G43670	FINS1
AT1G47260	at1g47260
AT1G50430	DWF5
AT1G54870	ChlADR
AT1G55920	SAT1
AT1G62180	APR2
AT1G63000	UER1
AT1G63970	IspF
AT1G64660	AT1G64660
AT1G65930	cICDH
AT1G67090	RBCS-1A
AT1G68010	HPR1
AT1G68760	NUDT1
AT1G71750	HGPT
AT1G73250	GER1
AT1G74470	CHLP
AT1G75330	OTC
AT1G78510	SPS1
AT1G79010	TYKY
AT1G79500	kdsA1
AT1G79870	HPR2
AT1G80300	NTT1
AT2G02500	MCT
AT2G04540	AT2G04540
AT2G13810	ALD1
AT2G14750	AKN1
AT2G20690	AT2G20690
AT2G21790	RNR1
AT2G29630	THIC
AT2G31955	Cnx2
AT2G33150	PED1
AT2G35120	AT2G35120
AT2G35370	AT2G35370
AT2G36230	HISN3
AT2G36530	LOC2
AT2G38230	PDX11
AT2G43090	IIL1
AT2G43100	IPMI2
AT2G43750	OASB
AT2G44050	AT2G44050
AT2G45310	GAE4
AT2G46110	PANB1
AT3G01120	CGS1
AT3G02020	AK3
AT3G03780	AtMS2
AT3G04870	ZDS
AT3G14420	GLO1
AT3G17810	PYD1A
AT3G20330	AT3G20330
AT3G22200-LER	POP2
AT3G22370	AOX1a
AT3G22425	HISN5A
AT3G23490	CYN
AT3G23580	RNR2A
AT3G26650	GapA-1
AT3G43190	SUS4
AT3G44300	NIT2
AT3G44310	NIT1
AT3G44320	NIT3
AT3G46940	DUT
AT3G48170	ALDH10A9
AT3G49680	BCAT3
AT3G51160	MUR1
AT3G51820	G4
AT3G51840	ACX4
AT3G53520	UXS1
AT3G53900	UPP
AT3G54470	PYRE-F
AT3G55440	CTIMC
AT3G57050	CBL1
AT3G57610	PURA
