12DICHLORETHDEG-PWY	1,2-dichloroethane degradation
14DICHLORBENZDEG-PWY	1,4-dichlorobenzene degradation
1CMET2-PWY	<i>N</i><sup>10</sup>-formyl-tetrahydrofolate biosynthesis
2AMINOBENZDEG-PWY	anthranilate degradation III (anaerobic)
2ASDEG-PWY	orthanilate degradation
2PHENDEG-PWY	phenylethylamine degradation I
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation
4-HYDROXYMANDELATE-DEGRADATION-PWY	4-hydroxymandelate degradation
ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)
ADENOSYLHOMOCYSCAT-PWY	L-methionine salvage from L-homocysteine
AEROBACTINSYN-PWY	aerobactin biosynthesis
ALACAT2-PWY	L-alanine degradation II (to D-lactate)
ALANINE-VALINESYN-PWY	L-alanine biosynthesis I
AMMOXID-PWY	ammonia oxidation I (aerobic)
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)
ANAPHENOXI-PWY	L-phenylalanine degradation II (anaerobic)
ARABCAT-PWY	L-arabinose degradation I
ARG-GLU-PWY	L-arginine degradation VII (arginase 3 pathway)
ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)
ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)
ARGDEG-III-PWY	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)
ARGDEG-IV-PWY	L-arginine degradation VIII (arginine oxidase pathway)
ARGININE-SYN4-PWY	L-ornithine biosynthesis II
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)
ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)
ASPARAGINE-DEG1-PWY-1	L-asparagine degradation III (mammalian)
ASPARTATE-DEG1-PWY	L-aspartate degradation I
ASPARTATESYN-PWY	L-aspartate biosynthesis
ASPSYNII-PWY	cyanide detoxification I
AST-PWY	L-arginine degradation II (AST pathway)
BENZCOA-PWY	anaerobic aromatic compound degradation (<i>Thauera aromatica</i>)
BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)
BSUBPOLYAMSYN-PWY	spermidine biosynthesis I
CALVIN-PWY	Calvin-Benson-Bassham cycle
CARNMET-PWY	L-carnitine degradation I
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)
CENTFERM-PWY	pyruvate fermentation to butanoate
CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide <i>a</i> biosynthesis I (aerobic, light-dependent)
CHOLINE-BETAINE-ANA-PWY	choline degradation I
CITRULBIO-PWY	L-citrulline biosynthesis
CITRULLINE-DEG-PWY	L-citrulline degradation
CO2FORM-PWY	methanogenesis from methanol
COA-PWY	coenzyme A biosynthesis I (prokaryotic)
COBALSYN-PWY	superpathway of adenosylcobalamin salvage from cobinamide I
CODH-PWY	reductive acetyl coenzyme A pathway I (homoacetogenic bacteria)
COLANSYN-PWY	colanic acid building blocks biosynthesis
CRNFORCAT-PWY	creatinine degradation I
CYANCAT-PWY	cyanate degradation
CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation
CYSTSYN-PWY	L-cysteine biosynthesis I
DAPLYSINESYN-PWY	L-lysine biosynthesis I
DARABCAT-PWY	D-arabinose degradation II
DARABCATK12-PWY	D-arabinose degradation I
DENITRIFICATION-PWY	nitrate reduction I (denitrification)
DETOX1-PWY	superoxide radicals degradation
DETOX1-PWY-1	reactive oxygen species degradation
