1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	EG11377
1-PFK-MONOMER	EG10337
2-DEHYDROPANTOATE-REDUCT-MONOMER	G6239
2-ISOPROPYLMALATESYN-MONOMER	EG11226
2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER	EG11473
26DICHDIOXFLAVO-MONOMER	G-264
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-MONOMER	EG11675
3-ISOPROPYLMALDEHYDROG-MONOMER	EG11577
3-OXOACYL-ACP-REDUCT-MONOMER	EG11318
3-OXOACYL-ACP-SYNTHII-MONOMER	EG12606
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	EG11370
6PFK-1-MONOMER	EG10699
6PFK-2-MONOMER	EG10700
6PGLUCONDEHYDROG-MONOMER	EG10411
6PGLUCONOLACT-MONOMER	G6397
7-ALPHA-HYDROXYSTEROID-DEH-MONOMER	EG10425
7KAPSYN-MONOMER	EG10121
AADCLOS-MONOMER	G-101
AAS-MONOMER	EG11679
ABC-MONOMER	EG11621
ABGT-MONOMER	EG12853
ACETATEKINA-MONOMER	EG10027
ACETOLACTSYNIII-HCHAIN-MONOMER	EG10499
ACETOLACTSYNIII-ICHAIN-MONOMER	EG10500
ACETYL-COA-ACETYLTRANSFER-MONOMER	EG11672
ACETYLGLUTKIN-MONOMER	EG10064
ACETYLORNDEACET-MONOMER	EG11286
ACETYLORNTRANSAM-MONOMER	EG10066
ACIAD0832-MONOMER	ACIAD0832
ACKCLOS-MONOMER	G-103
ACNEULY-MONOMER	EG10637
ACONITASE-MONOMER	EG11325
ACONITATEDEHYDRB-MONOMER	EG12316
ACPSUB-MONOMER	G6343
ACRB-MONOMER	EG11704
ACRD-MONOMER	EG10014
ACRF-MONOMER	EG10267
ACS-MONOMER	EG11448
ACSERLYA-MONOMER	EG10192
ACSERLYB-MONOMER	EG10193
ACYLCOADEHYDROG-MONOMER	G6105
ACYLCOASYN-MONOMER	EG11530
ADCCLOS-MONOMER	G-104
ADCLY-MONOMER	EG11493
ADENODEAMIN-MONOMER	EG10030
ADENPRIBOSYLTRAN-MONOMER	EG10051
ADENYL-KIN-MONOMER	EG10032
ADENYLATECYC-MONOMER	EG10170
ADENYLOSUCCINATE-SYN-MONOMER	EG10790
ADENYLYLSULFKIN-MONOMER	EG10185
ADHC-MONOMER	EG50010
ADHE-MONOMER	EG10031
ADHP-MONOMER	G6775
AERGLYC3PDEHYDROG-MONOMER	EG10394
AGAX-MONOMER	EG12322
AGMATIN-MONOMER	EG10960
AICARTRANSIMPCYCLO-CPLX	EG10795
AIRS-MONOMER	EG10798
AKBLIG-MONOMER	EG10512
AKPTHIOLST-MONOMER	G-11572
ALARACEBIOSYN-MONOMER	EG10001
ALARACECAT-MONOMER	EG11408
ALAS-MONOMER	EG10034
ALDDEHYDROGB-MONOMER	EG12292
ALDHDEHYDROG-MONOMER	EG10036
ALDOSE1EPIM-MONOMER	EG11698
ALKAPHOSPHA-MONOMER	EG10727
ALPHA-AMYL-CYTO-MONOMER	EG11387
ALPHA-AMYL-PERI-MONOMER	EG11316
ALPHACOMP-MONOMER	EG10191
ALPHAGALACTOSID-MONOMER	EG10577
ALPHALAC-MONOMER	G-15284
ALTRO-OXIDOREDUCT-MONOMER	EG11065
ALTRODEHYDRAT-MONOMER	EG12734
AMINEOXID-MONOMER	EG13139
AMP-NUCLEOSID-MONOMER	EG10039
AMPG-MONOMER	EG12183
AMTB-MONOMER	EG11821
AMYLOMALT-MONOMER	EG10561
ANGLYC3PDEHYDROGSUBUNITA-MONOMER	EG10391
ANGLYC3PDEHYDROGSUBUNITB-MONOMER	EG10392
ANGLYC3PDEHYDROGSUBUNITC-MONOMER	EG10393
ANSA-MONOMER	EG10045
ANSB-MONOMER	EG10046
ANTHRANSYNCOMPI-MONOMER	EG11028
ANTHRANSYNCOMPII-MONOMER	EG11027
AOHBENREDTHAUERA-MONOMER	G-15183
APHA-MONOMER	EG11934
APPA-MONOMER	EG10049
APPB-MONOMER	EG11379
APPC-MONOMER	EG11380
AQPZ-MONOMER	EG13270
ARABISOM-MONOMER	EG10052
ARAE-MONOMER	EG10056
ARAF-MONOMER	EG10057
ARAG-MONOMER	EG10058
ARAH-MONOMER	EG10059
ARGDECARBOXBIO-MONOMER	EG10959
ARGDECARBOXDEG-MONOMER	EG11501
ARGS-MONOMER	EG10071
ARGSUCCINLYA-MONOMER	EG11223
ARGSUCCTRAN-MONOMER	G6943
AROA-MONOMER	EG10073
AROB-MONOMER	EG10074
AROC-MONOMER	EG10075
AROD-MONOMER	EG10076
AROE-MONOMER	EG10077
AROF-MONOMER	EG10078
AROG-MONOMER	EG10079
