1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	EC-2.3.1.51
1.1.1.127-RXN	EC-1.1.1.127
1.1.1.136-RXN	EC-1.1.1.136
1.1.1.201-RXN	EC-1.1.1.201
1.1.1.222-RXN	EC-1.1.1.237
1.1.1.263-RXN	EC-1.1.1.263
1.1.1.264-RXN	EC-1.1.1.264
1.1.1.270-RXN	EC-1.1.1.270
1.1.1.271-RXN	EC-1.1.1.271
1.1.1.283-RXN	EC-1.1.1.283
1.1.1.292-RXN	EC-1.1.1.292
1.1.1.34-RXN	EC-1.1.1.34
1.1.1.52-RXN	EC-1.1.1.52
1.1.1.83-RXN	EC-1.1.1.83
1.1.3.41-RXN	EC-1.1.3.41
1.1.99.25-RXN	EC-1.1.5.8
1.10.2.2-RXN	EC-7.1.1.8
1.11.1.12-RXN	EC-1.11.1.12
1.11.1.15-RXN	EC-1.11.1.15
1.13.11.14-RXN	EC-1.13.11.14
1.13.11.15-RXN	EC-1.13.11.15
1.13.11.25-RXN	EC-1.13.11.25
1.13.11.6-RXN	EC-1.13.11.6
1.13.11.9-RXN	EC-1.13.11.9
1.14.11.21-RXN	EC-1.14.11.21
1.14.11.26-RXN	EC-1.14.11.26
1.14.20.1-RXN	EC-1.14.20.1
1.18.1.2-RXN	EC-1.18.1.2
1.2.1.2-RXN	EC-1.17.1.9
1.2.1.30-RXN	EC-1.2.1.30
1.2.1.32-RXN	EC-1.2.1.32
1.2.1.53-RXN	EC-1.2.1.53
1.2.1.54-RXN	EC-1.2.1.54
1.2.1.61-RXN	EC-1.2.1.61
1.2.1.65-RXN	EC-1.2.1.65
1.2.1.67-RXN	EC-1.2.1.67
1.21.3.1-RXN	EC-1.21.3.1
1.3.1.2-RXN	EC-1.3.1.2
1.3.1.25-RXN	EC-1.3.1.25
1.3.1.53-RXN	EC-1.3.1.53
1.3.1.54-RXN	EC-1.3.1.54
1.3.1.56-RXN	EC-1.3.1.56
1.3.7.2-RXN	EC-1.3.7.2
1.3.7.3-RXN	EC-1.3.7.3
1.3.7.5-RXN	EC-1.3.7.5
1.4.1.11-RXN	EC-1.4.1.11
1.5.1.11-RXN	EC-1.5.1.11
1.5.1.34-RXN	EC-1.5.1.34
1.6.4.9-RXN	EC-1.8.1.13
1.7.2.2-RXN	EC-1.7.2.2
1.7.7.2-RXN	EC-1.7.7.2
1.7.99.8-RXN	EC-1.7.2.8
