3-ISOPROPYLMALISOM-RXN	3-isopropylmalate dehydratase
3.2.1.26-RXN	6-phospho-&beta;-fructofuranosidase
4.2.1.58-RXN	(3<em>R</em>)-3-hydroxybutanoyl-[acyl-carrier-protein] hydratase
6-HEXANOLIDE-HYDROLYSIS-RXN	6-hexanolide hydrolysis
ACONITATEHYDR-RXN	cis-aconitate hydratase
ACYLCOASYN-RXN	2,3,4-saturated fatty acyl-CoA synthetase
CATECHOL-2-3-DIOXYGENASE-RXN	Methylcatechol 2,3-dioxygenase
CHOLINE-OXIDASE-RXN	choline oxidase
CHOLINE-OXIDASEII-RXN	Betaine aldehyde oxidase
D-PPENTOMUT-RXN	D-deoxyribose 1,5-phosphomutase
DHLAXANAU-RXN	1,2-dichloroethane dehalogenase
DIHYDROXYMETVALDEHYDRAT-RXN	2,3-Dihydroxy-3-methylvalerate dehydratase
HEMEOSYN-RXN	heme <i>o</i> biosynthesis
HYDROXY-MANDELATE-RACEMASE-RXN	hydroxymandelate racemase
L-LACTDEHYDROGFMN-RXN	lactate oxidation
LACTOSE6P-HYDROXY-RXN	6-phospho-lactosidase
METHYLGALLATE-RXN	3-<i>O</i>-methylgallate 4,5-dioxygenase
NACGLCTRANS-RXN	UDP-N-acetyl-D-glucosamine:<i>N</i>-acetylmuramoyl-L-alanyl-D-glutamyl-<I>meso</I>-2,6-diaminopimelyl-D-alanyl-D-alanine-diphosphoundecaprenol 4-&beta;-N-acetylglucosaminlytransferase
ORNITHINE-GLU-AMINOTRANSFERASE-RXN	Ornithine--oxo-glutarate aminotransferase
PHOSNACMURPENTATRANS-RXN	UDP-<i>N</i>-acetylmuramoyl-L-alanyl-D-glutamyl-<I>meso</I>-2,6-diaminopimelyl-D-alanyl-D-alanine:undecaprenyl-phosphate transferase
R222-RXN	1-octanal dehydrogenase (NAD+)
R223-RXN	octanoyl-CoA ligase
R230-RXN	(2R)-3-sulfolactate dehydrogenase (NAD+)
R581-RXN	(Aceto)phenylmercury lyase
RXN-10061	3-hydroxycerotyl-[acp] dehydrase
