,,,sum_sq,df,F,PR(>F),corrected P-values,corrected significant
RPCA,metagenomics,Diet,0.7162786611266351,1.0,2.9507634924090986,0.09108179715751873,0.2491133150661391,False
RPCA,metagenomics,Cognition Group,0.9458130643975925,1.0,3.89634762632497,0.053079314456474416,0.19600302380199042,False
RPCA,metagenomics,Diet Sequence,0.047994453670439856,1.0,0.19771673988737734,0.658197096851892,0.8378528677097966,False
RPCA,metagenomics,Host Subject ID,0.06847680834272031,1.0,0.2820953311893662,0.5973250289747283,0.8378528677097966,False
CTF,metagenomics,Diet,9564.709451659512,1.0,10.173582013218535,0.0024147156663675896,0.012015410442922758,True
CTF,metagenomics,Cognition Group,11.517862240644254,1.0,0.012251069069517478,0.912292601245847,0.9861235712638469,False
CTF,metagenomics,Diet Sequence,88.8926843861012,1.0,0.09455143614636848,0.7596969757219045,0.9861235712638469,False
CTF,metagenomics,Host Subject ID,966.7941845475735,1.0,1.0283385999447099,0.31524452891345395,0.7801421161505231,False
RPCA,food-omics,Diet,0.7241735279542569,1.0,1.0634195770396813,0.30631791295520994,0.7684515279910812,False
RPCA,food-omics,Cognition Group,2.801543080331108,1.0,4.113952861491973,0.04669705253623347,0.21267384497035002,False
RPCA,food-omics,Diet Sequence,0.5173329342047641,1.0,0.759682519236574,0.38668587060355764,0.7684515279910812,False
RPCA,food-omics,Host Subject ID,0.5824038392735799,1.0,0.8552365151708748,0.3585490686582429,0.7684515279910812,False
CTF,food-omics,Diet,40.98815110012816,1.0,41.99247312590994,2.6715674626329822e-08,1.0686269436011031e-07,True
CTF,food-omics,Cognition Group,7.45441294804489,1.0,7.637066493326931,0.007763159305956673,0.015466051969503791,True
CTF,food-omics,Diet Sequence,102.53676520055623,1.0,105.04919693946947,2.292519904523185e-14,1.1435297153639112e-13,True
CTF,food-omics,Host Subject ID,0.26176825591514286,1.0,0.2681822955341497,0.6066306282641514,0.6066306282641514,False
RPCA,metabolomics,Diet,0.17952348361975107,1.0,0.3298638680834666,0.5677525387007034,0.8131621322003131,False
RPCA,metabolomics,Cognition Group,11.421813142868524,1.0,20.986911505201395,2.1935469713963846e-05,6.580496565800065e-05,True
RPCA,metabolomics,Diet Sequence,12.823322313436918,1.0,23.562102376259553,8.11853848156568e-06,3.247375846449074e-05,True
RPCA,metabolomics,Host Subject ID,16.155031317784196,1.0,29.683922192492194,8.669478322136774e-07,4.334731644961565e-06,True
CTF,metabolomics,Diet,0.6426423145162811,1.0,42.728251264694734,2.1603956569679224e-08,8.641582371904377e-08,True
CTF,metabolomics,Cognition Group,0.00800444787860355,1.0,0.5322028326901596,0.4687778180171386,0.4687778180171386,False
CTF,metabolomics,Diet Sequence,0.029361680965705496,1.0,1.9522108232178743,0.1679604082540881,0.3077101177672963,False
CTF,metabolomics,Host Subject ID,0.055313888260851644,1.0,3.6777312396802033,0.0603423483275217,0.17032316647601442,False
