gotu	covered_length	total_length	coverage_ratio	strain
G900113595	6937450	7259544	0.9556316484892164	Lachnospiraceae bacterium NLAE-zl-G231 IMG-taxon 2657245270 annotated assembly
G001717135	6886166	7148401	0.9633155722517526	Eisenbergiella tayi NML 110608
G001318345	6713748	7084828	0.9476232873966736	Bacteroides cellulosilyticus WH2 ASM131834v1
G000233455	6580877	6647380	0.9899956072918955	[Clostridium] citroniae WAL-17108
G000160095	6580205	7163884	0.918524783483373	Hungatella hathewayi DSM 13479
G000466465	6541306	6640751	0.9850250370778847	Clostridium sp. KLE 1755 ASM46646v2
G001314995	6453154	6472489	0.9970127411572272	Bacteroides ovatus ATCC 8483 ASM131499v1
G001314975	6415712	6487685	0.9889062123083966	Bacteroides thetaiotaomicron 7330
G000159075	6354347	6920457	0.9181975988001948	Bacteroides sp. D2 Bact_sp_D2_V2
G000155435	6350338	6548966	0.9696703265828529	Clostridiales bacterium 1_7_47FAA ASM15543v1
G000371705	6289516	6377378	0.9862228646318283	[Clostridium] bolteae 90A9
G000969835	6278590	6486757	0.9679089258315057	Parabacteroides goldsteinii DSM 19448 = WAL 12034 DSM 19448
G000011065	6266754	6293399	0.9957661988378617	Bacteroides thetaiotaomicron VPI-5482
G000158075	6146187	6417332	0.9577480174003776	[Clostridium asparagiforme] DSM 15981
G900115855	5962606	6043725	0.9865779796400399	[Clostridium] citroniae NLAE-zl-G70
G000598465	5392775	5430750	0.9930074114993325	Bacteroides fragilis str. 3986 T(B)9
G000437995	5363719	5384454	0.9961490988687061	Bacteroides thetaiotaomicron CAG:40 MGS40
G000235505	5325264	5697783	0.9346203602348493	Hungatella hathewayi WAL-18680
G000436435	5310427	5342916	0.9939192381089278	Bacteroides ovatus CAG:22 MGS22
G000431175	5310228	5414560	0.9807312136166189	Clostridium bolteae CAG:59 MGS59
G000026325	5263641	5358200	0.9823524691127618	Escherichia coli UMN026
G000240185	5226683	5682322	0.9198146461956925	Klebsiella pneumoniae subsp. pneumoniae HS11286
G000299455	5150337	5437407	0.9472046142582301	Escherichia coli O104:H4 str. 2011C-3493
G000008865	5144851	5594477	0.9196303783177587	Escherichia coli O157:H7 str. Sakai Sakai substr. RIMD 0509952
G000012825	5124168	5163189	0.992442461432266	Bacteroides vulgatus ATCC 8482
G900113155	5118996	5465751	0.9365585808793705	[Clostridium] clostridioforme ATCC 25537
G000009925	5099941	5310990	0.9602618344225841	Bacteroides fragilis YCH46
G000381365	5088738	5315450	0.957348484135868	Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988 DSM 18765
G000189595	5048370	5352498	0.943180174938879	[Clostridium] symbiosum WAL-14163
G000598965	5025564	5062782	0.9926487057906108	Bacteroides fragilis str. 3986 T(B)13
G000026345	5012168	5132068	0.9766370983393049	Escherichia coli IAI39
G000599385	4986744	5225713	0.9542705464306976	Bacteroides fragilis str. S6L8
G900108895	4890627	5236575	0.9339362083040919	[Clostridium] clostridioforme NLAE-zl-G208
G900100685	4882456	5225716	0.9343133074970014	[Clostridium] clostridioforme NLAE-zl-C196
G000183345	4788591	4894879	0.978285877955308	Escherichia coli O83:H1 str. NRG 857C
G000154205	4706919	4719097	0.9974194215545897	Bacteroides uniformis ATCC 8492
G000012845	4685877	4811379	0.9739155863630781	Parabacteroides distasonis ATCC 8503
G000215745	4684404	5280350	0.8871389207154828	Enterobacter aerogenes KCTC 2190
G000433375	4676630	4768711	0.9806905891340448	Bacteroides faecis CAG:32 MGS32
G001915455	4676079	4882528	0.9577167811428834	Bacteroides sp. 43_46 ASM191545v1
G001404335	4627947	5545490	0.8345424840726429	[Eubacterium] contortum 2789STDY5834876
G000519105	4540416	4717857	0.9623894916696288	Butyricimonas virosa DSM 23226
G000371425	4512748	4803668	0.9394379461694689	[Clostridium] innocuum 2959
G000701705	4500961	4630442	0.9720370107216546	Bilophila wadsworthia ATCC 49260
G000006925	4469388	4828820	0.9255652519663189	Shigella flexneri 2a str. 301
G000434095	4454510	4457568	0.999313975692575	Bacteroides fragilis CAG:47 MGS47
G000307375	4416987	4629061	0.9541863889890412	Parabacteroides johnsonii CL02T12C29
G000433575	4416792	4506006	0.9802010916097316	Bacteroides caccae CAG:21 MGS21
G000436455	4398958	4493879	0.9788777134408826	Clostridium clostridioforme CAG:132 MGS132
G000190535	4334423	4392288	0.986825772809069	Odoribacter splanchnicus DSM 20712 DSM 220712
